id,features
152,['0.000000' '4.737059' '0.000000' ... '4.046096' '2.147304' '0.000000']
153,['0.490504' '4.759464' '0.467092' ... '0.153019' '0.370376' '0.000000']
154,['0.000000' '3.674522' '0.000000' ... '0.000000' '4.014469' '0.000000']
155,['0.000000' '0.931508' '0.000000' ... '0.487214' '1.671288' '0.472018']
156,['0.000000' '2.809759' '0.000000' ... '1.649737' '3.990246' '0.000000']
157,['0.008306' '0.000000' '0.195245' ... '1.178426' '1.663726' '0.000000']
158,['0.000000' '3.193358' '0.000000' ... '2.069897' '4.341869' '0.000000']
159,['0.000000' '2.825934' '0.000000' ... '0.194611' '3.699021' '0.000000']
160,['0.000000' '2.412625' '1.328370' ... '0.212360' '0.000000' '0.000000']
161,['0.000000' '0.000000' '0.000000' ... '0.025248' '2.026770' '0.000000']
162,['0.000000' '0.000000' '0.000000' ... '0.000000' '0.277662' '0.000000']
163,['0.000000' '2.851105' '0.000000' ... '0.095415' '0.620731' '0.000000']
164,['0.000000' '4.907892' '0.000000' ... '0.336206' '4.258412' '0.075329']
165,['0.000000' '0.736296' '0.000000' ... '0.268020' '4.029487' '0.000000']
166,['0.869903' '0.000000' '0.000000' ... '0.000000' '0.420789' '0.000000']
167,['0.000000' '0.331704' '0.036637' ... '0.000000' '0.158822' '0.000000']
168,['0.031355' '2.729570' '0.000000' ... '0.451241' '5.062481' '0.000000']
169,['0.000000' '0.000000' '0.000000' ... '0.000000' '3.047327' '0.000000']
170,['0.000000' '4.467965' '2.433503' ... '1.113103' '1.236925' '0.000000']
171,['0.000000' '4.257952' '2.637764' ... '0.000000' '0.561876' '0.668001']
172,['0.000000' '4.553964' '0.000000' ... '0.876575' '4.814501' '0.000000']
173,['0.000000' '2.745494' '3.798776' ... '0.870900' '0.000000' '0.000000']
174,['0.059677' '1.095248' '0.636808' ... '0.309969' '0.000169' '0.000000']
175,['0.000000' '0.000000' '1.438937' ... '0.000000' '0.639224' '0.000000']
176,['0.000000' '0.744142' '0.000000' ... '0.260220' '1.830783' '0.000000']
177,['0.000000' '1.979633' '0.000000' ... '0.538549' '0.000000' '0.050618']
178,['0.000000' '3.310515' '0.262830' ... '2.991924' '0.000000' '0.000000']
179,['0.000000' '1.959500' '1.619571' ... '0.000000' '0.596407' '0.012564']
180,['0.000000' '0.000000' '0.000000' ... '0.005922' '0.491188' '0.000000']
181,['0.547995' '2.066253' '0.000000' ... '0.080953' '1.053459' '0.310886']
182,['0.000000' '0.569354' '0.000000' ... '1.077276' '1.315803' '0.000000']
183,['0.000000' '0.850677' '0.000000' ... '0.000000' '4.535624' '0.052061']
184,['0.000000' '4.539248' '0.000000' ... '0.821316' '4.667547' '0.013348']
185,['0.574658' '0.000000' '0.718792' ... '0.000000' '0.000000' '0.000000']
186,['0.000000' '2.577799' '2.787039' ... '0.000000' '2.581775' '0.000000']
187,['0.000000' '1.762430' '0.000000' ... '0.495603' '4.370970' '0.000000']
188,['0.000000' '0.407783' '0.000000' ... '0.094236' '2.212071' '0.251764']
189,['0.020542' '0.084914' '2.316805' ... '0.599549' '0.058110' '0.000000']
190,['0.000000' '3.793263' '1.678311' ... '0.166657' '0.529122' '0.000000']
191,['0.000000' '2.001806' '0.539214' ... '0.000000' '0.478689' '0.000000']
192,['0.000000' '2.970824' '4.412100' ... '0.000000' '0.290111' '0.000000']
193,['0.000000' '1.133945' '0.023680' ... '0.000000' '0.012417' '0.035761']
194,['0.000000' '0.300497' '0.000000' ... '0.772679' '3.598535' '0.000000']
195,['0.000000' '0.017038' '0.000000' ... '2.012897' '2.699840' '0.000000']
196,['0.000000' '1.852888' '0.000000' ... '0.014734' '4.680269' '0.000000']
197,['0.000000' '3.117320' '0.844957' ... '1.216958' '0.184637' '0.000000']
198,['0.044036' '0.000000' '0.000000' ... '0.057568' '0.780084' '0.000000']
199,['0.000000' '1.643658' '4.785160' ... '4.972381' '0.246988' '0.000000']
200,['0.258657' '3.010798' '0.000000' ... '0.962520' '2.647280' '0.367205']
201,['0.000000' '2.920424' '0.037272' ... '0.000000' '0.271096' '0.000000']
202,['0.616167' '1.973701' '0.410880' ... '0.514543' '1.130298' '0.489240']
203,['0.303432' '0.014722' '0.264936' ... '0.000000' '1.366863' '0.000000']
204,['0.199718' '0.598935' '0.000000' ... '1.813967' '1.929859' '0.000000']
205,['0.000000' '0.032569' '0.000000' ... '0.000000' '4.356510' '0.000000']
206,['0.000000' '0.078288' '0.709246' ... '1.658282' '0.100372' '1.357885']
207,['0.074258' '0.111666' '0.000000' ... '0.000000' '0.089815' '0.000000']
208,['0.000000' '3.671807' '0.158999' ... '2.193744' '2.013058' '0.000000']
209,['0.074820' '2.005248' '1.024375' ... '0.063072' '0.000000' '0.000000']
210,['0.000000' '2.444483' '3.006262' ... '0.067908' '0.739484' '0.000000']
211,['0.000000' '0.652417' '0.000000' ... '0.384475' '4.854146' '0.002351']
212,['0.000000' '2.262540' '0.000000' ... '1.467946' '2.274082' '0.000000']
213,['0.000000' '0.445112' '0.000000' ... '0.014158' '4.477682' '0.000000']
214,['0.000000' '0.808572' '0.000000' ... '1.052731' '1.161545' '0.000000']
215,['0.000000' '1.338185' '0.000000' ... '0.000000' '0.553253' '0.000000']
216,['0.000000' '2.739175' '3.792385' ... '0.000000' '0.395202' '0.000000']
217,['0.000000' '2.872739' '0.000000' ... '0.063165' '3.796827' '0.000000']
218,['0.000000' '1.229365' '0.374413' ... '3.366463' '0.062019' '0.056991']
219,['0.000000' '3.333981' '0.000000' ... '0.294024' '0.000000' '0.000000']
220,['0.303432' '0.014722' '0.264936' ... '0.000000' '1.366863' '0.000000']
221,['0.000000' '0.000000' '0.000000' ... '0.038283' '2.363650' '0.000000']
222,['0.312490' '0.256745' '0.658088' ... '0.000000' '0.788459' '0.104816']
223,['2.157574' '0.200672' '0.000000' ... '2.135007' '0.688685' '0.500616']
224,['2.202581' '3.240571' '2.541602' ... '0.000000' '0.388381' '0.000000']
225,['0.000000' '0.000000' '0.226601' ... '0.213639' '0.184279' '0.000000']
226,['0.000000' '0.361330' '0.851089' ... '1.938406' '0.115241' '0.000000']
227,['0.000000' '0.343741' '0.550639' ... '0.000000' '2.160107' '0.000000']
228,['0.716200' '0.000000' '0.000000' ... '0.000000' '1.660138' '0.000000']
229,['0.000000' '0.376901' '4.106843' ... '0.000000' '0.000000' '0.000000']
230,['0.000000' '0.792536' '0.000000' ... '1.234000' '3.510686' '1.281387']
231,['0.000000' '0.043308' '0.000000' ... '0.530956' '3.334110' '0.116647']
232,['0.000000' '0.723216' '0.000000' ... '1.972762' '2.275529' '0.000000']
233,['0.027948' '3.077187' '1.712174' ... '0.000000' '1.731282' '0.000000']
234,['0.000000' '1.411082' '0.000000' ... '0.000000' '5.071932' '0.150270']
235,['0.000000' '2.678791' '0.000000' ... '0.045450' '2.864715' '0.074687']
236,['0.000000' '3.438365' '1.595413' ... '0.074299' '0.000000' '0.000000']
237,['0.000000' '0.000000' '0.000000' ... '0.000000' '0.113754' '0.000000']
238,['0.000000' '3.351829' '0.000000' ... '0.000000' '3.407688' '0.000000']
239,['0.000000' '1.681862' '0.000000' ... '0.479784' '5.130639' '0.000000']
240,['0.168345' '1.070363' '0.000000' ... '1.539050' '2.849712' '0.000000']
241,['0.000000' '0.546791' '0.000000' ... '1.295681' '3.278425' '0.000000']
242,['0.000000' '0.000000' '0.000000' ... '0.000000' '0.833603' '0.000000']
243,['1.605114' '0.022622' '0.994267' ... '0.000000' '2.121618' '0.000000']
244,['0.000000' '0.787348' '0.866662' ... '0.202845' '0.000000' '0.000000']
245,['0.000000' '1.524396' '3.112556' ... '1.149891' '0.000000' '0.000000']
246,['0.223853' '1.124965' '2.793990' ... '0.000000' '0.500430' '0.001834']
247,['0.000000' '1.437690' '0.000000' ... '0.000000' '4.421765' '0.000000']
248,['0.000000' '0.640461' '0.000000' ... '0.171876' '0.000000' '0.000000']
249,['0.000000' '4.113099' '0.000000' ... '0.000000' '3.539562' '0.000000']
250,['0.734949' '1.236588' '0.908755' ... '0.066261' '0.029463' '0.018643']
251,['0.274817' '0.464709' '0.161511' ... '0.000000' '0.122247' '0.055029']
252,['0.259923' '0.112977' '0.933285' ... '0.000000' '1.228780' '0.000000']
253,['0.000000' '0.000000' '0.037203' ... '0.000000' '0.019516' '0.000000']
254,['1.523471' '0.542075' '0.625522' ... '0.000000' '0.000000' '0.000000']
255,['0.277486' '2.266122' '0.000000' ... '0.554438' '3.959281' '0.000000']
256,['0.000000' '3.196969' '1.254124' ... '2.696611' '0.066854' '0.000000']
257,['0.000000' '2.605607' '0.248646' ... '0.944073' '2.518537' '0.056341']
258,['0.000000' '0.025463' '3.323853' ... '0.696823' '0.018616' '0.000000']
259,['0.189078' '0.061346' '0.185459' ... '0.001491' '0.000000' '0.000000']
260,['0.000000' '4.926910' '0.000000' ... '0.389712' '5.377636' '0.000000']
261,['0.000000' '1.540311' '0.000000' ... '0.000000' '4.955950' '0.083423']
262,['0.000000' '3.086117' '1.008169' ... '1.401645' '0.000000' '0.000000']
263,['1.203128' '0.151028' '0.000000' ... '0.000000' '1.426863' '0.000000']
264,['0.000000' '0.469855' '0.494832' ... '0.960846' '0.013735' '0.000000']
265,['0.000000' '1.555549' '0.000000' ... '0.000000' '4.715991' '0.000000']
266,['0.022173' '0.778856' '0.227269' ... '0.000000' '0.087844' '0.000000']
267,['0.000000' '2.087908' '0.113163' ... '0.051556' '0.101493' '0.000000']
268,['0.429668' '4.568626' '0.000000' ... '1.145954' '4.108451' '0.000000']
269,['0.000000' '1.198319' '2.691051' ... '0.185261' '0.161593' '0.000000']
270,['0.000000' '1.162316' '0.000000' ... '0.000000' '4.292923' '0.000000']
271,['0.000000' '0.069436' '0.079433' ... '1.508671' '3.259646' '0.000000']
272,['1.519248' '0.782843' '0.013141' ... '1.291497' '0.356598' '0.048057']
273,['0.000000' '1.708469' '0.000000' ... '0.110221' '1.778801' '0.000000']
274,['0.000000' '1.883488' '1.703499' ... '0.677238' '0.418358' '0.000000']
275,['0.000000' '3.044952' '0.000000' ... '0.619439' '3.976404' '0.000000']
276,['0.000000' '2.200438' '0.000000' ... '1.547112' '3.461924' '0.065789']
277,['1.345504' '0.180562' '0.131480' ... '0.033693' '0.203859' '0.000000']
278,['0.176383' '3.895889' '0.121033' ... '0.000000' '5.133608' '0.000000']
279,['0.000000' '0.271305' '2.235626' ... '0.000000' '0.000000' '0.000000']
280,['0.000000' '0.000400' '0.137112' ... '0.017712' '0.079320' '0.000000']
281,['0.139519' '3.220405' '0.737234' ... '0.979545' '0.973644' '0.000000']
282,['0.000000' '1.936778' '1.137011' ... '0.225443' '1.376374' '0.000000']
283,['0.000000' '3.431405' '0.086388' ... '1.806185' '1.569701' '0.000000']
284,['0.110571' '3.194683' '2.642760' ... '1.699354' '0.000000' '0.000000']
285,['0.000000' '2.079975' '0.360661' ... '0.000000' '1.614640' '0.000000']
286,['0.000000' '0.017396' '0.000000' ... '0.000000' '3.658096' '0.000000']
287,['0.000000' '3.507134' '2.042443' ... '1.214267' '0.000923' '0.000000']
288,['0.000000' '3.934745' '3.287477' ... '1.031979' '0.825021' '0.004007']
289,['2.006633' '0.000000' '2.617667' ... '0.015295' '0.000000' '0.000000']
290,['0.000000' '1.809957' '0.152016' ... '1.081466' '3.386503' '0.000000']
291,['0.000000' '1.395630' '2.408617' ... '0.000000' '0.112741' '0.000000']
292,['0.000000' '2.118201' '1.315660' ... '0.000000' '0.000000' '0.000000']
293,['0.000000' '4.825395' '2.003817' ... '0.086282' '1.800903' '0.000000']
294,['0.079010' '1.995969' '0.023005' ... '0.383230' '0.170905' '0.000000']
295,['0.052593' '1.975889' '0.033258' ... '0.000000' '2.115094' '0.000000']
296,['0.000000' '2.002334' '4.591567' ... '0.063202' '0.216231' '0.000000']
297,['0.039912' '4.899642' '0.051607' ... '0.445858' '3.355984' '0.000000']
298,['0.000000' '0.000000' '1.247479' ... '0.000000' '0.117931' '0.000000']
299,['0.000000' '3.525843' '0.000000' ... '0.000000' '0.540344' '0.000000']
300,['0.000000' '0.428068' '0.000000' ... '0.224526' '4.566227' '0.000000']
301,['0.000000' '0.449134' '1.457648' ... '0.508260' '1.025019' '0.301690']
302,['0.000000' '1.752212' '0.000000' ... '1.851043' '3.968707' '0.000000']
303,['0.049843' '2.851782' '0.000000' ... '0.000000' '4.927177' '0.000000']
304,['0.000000' '2.758169' '2.867786' ... '0.044125' '0.004387' '0.000000']
305,['0.000000' '0.447118' '0.260734' ... '0.000000' '0.000000' '0.000000']
306,['0.000000' '2.835021' '0.000000' ... '0.972087' '4.302091' '0.249251']
307,['1.455325' '0.097273' '0.186224' ... '1.735525' '0.000000' '0.000000']
308,['0.062994' '3.991025' '1.349348' ... '0.000000' '0.027268' '0.000000']
309,['0.000000' '1.203331' '0.000000' ... '0.000000' '2.462441' '0.000000']
310,['0.000000' '3.607618' '0.000000' ... '1.761578' '3.754155' '0.000000']
311,['0.283322' '0.635625' '0.275699' ... '1.197512' '0.510230' '0.000000']
312,['0.000000' '0.943961' '0.000000' ... '0.767376' '2.761420' '0.000000']
313,['0.000000' '2.466938' '2.526781' ... '0.822988' '0.000000' '0.000000']
314,['0.000000' '3.007381' '0.000000' ... '0.207723' '2.625266' '0.010290']
315,['0.104515' '0.347017' '0.000000' ... '0.000000' '1.959303' '0.000000']
316,['0.034357' '0.000000' '1.493681' ... '0.000000' '0.000000' '0.000000']
317,['0.000000' '2.219389' '0.000000' ... '0.000000' '3.674929' '0.000000']
318,['0.000000' '3.412801' '0.000000' ... '0.023844' '4.576291' '0.000000']
319,['0.000000' '0.812004' '1.145059' ... '0.000000' '0.000000' '0.000000']
320,['0.000000' '0.993454' '0.000000' ... '0.000000' '1.638574' '0.055276']
321,['0.023086' '0.039708' '0.000000' ... '0.047782' '1.772382' '0.000000']
322,['0.000000' '1.531019' '0.000000' ... '0.755451' '3.840167' '0.000000']
323,['1.247540' '0.223692' '0.629410' ... '2.002606' '0.184334' '0.055054']
324,['0.000000' '0.000000' '1.438937' ... '0.000000' '0.639224' '0.000000']
325,['0.000000' '0.454870' '1.309109' ... '1.394481' '1.227816' '0.000000']
326,['0.912161' '0.089202' '3.386735' ... '0.000000' '0.021076' '0.000000']
327,['0.149641' '0.000000' '0.000000' ... '0.000000' '0.382297' '0.000000']
328,['0.174595' '3.221489' '1.673259' ... '0.399084' '3.180821' '0.717134']
329,['0.000000' '0.542706' '0.000000' ... '0.274513' '3.961017' '0.000000']
330,['0.108492' '4.211594' '1.018993' ... '0.276144' '0.406958' '0.000000']
331,['0.000000' '1.078653' '0.517934' ... '0.000000' '2.184865' '0.000000']
332,['0.000000' '2.140297' '0.054267' ... '0.075078' '2.485989' '0.000000']
333,['0.000000' '3.597942' '0.687282' ... '1.869061' '0.992350' '0.000000']
334,['0.000000' '0.028992' '0.000000' ... '0.192065' '3.133701' '0.000000']
335,['0.000000' '0.554183' '0.000000' ... '0.000000' '2.880651' '0.000000']
336,['0.000000' '2.999224' '3.284531' ... '0.014058' '0.012806' '0.000000']
337,['0.000000' '0.798369' '0.000000' ... '0.000000' '4.358564' '0.127913']
338,['0.160802' '2.311559' '1.526337' ... '2.164857' '1.353165' '0.105871']
339,['0.000000' '1.450619' '0.215819' ... '0.780113' '0.031691' '0.000000']
340,['0.000000' '1.965766' '0.000000' ... '0.001940' '4.295754' '0.000000']
341,['0.000000' '0.000000' '1.438937' ... '0.000000' '0.639224' '0.000000']
